date,lon,lat,station,marker,ms,color
2023/11/30 2:00,115.744,-32.05,Fremantle,X,18,g
2023/11/30 4:43,115.25,-31.91666667,,v,10,b
2023/11/30 12:49,114,-33.38166667,,v,10,b
2023/12/01 19:35,114,-40,,$L1$,18,orange
2023/12/02 19:30,114,-45,,$L2$,18,orange
2023/12/03 19:25,114,-50,,$L3$,18,orange
2023/12/05 2:00,109.9166667,-55,,$L4$,18,orange
2023/12/06 2:00,109.9166667,-60,,$L5$,18,orange
2023/12/09 9:39,80,-60,,<,10,b
2023/12/10 12:08,70,-61,,<,10,b
2023/12/12 4:43,54,-62,,<,10,b
2023/12/13 6:52,44,-64,,<,10,b
2023/12/13 17:22,40,-65,,$8$,18,lime
2023/12/14 4:30,37.83333333,-66.83333333,St.BP,$BP$,18,red
2023/12/23 9:45,39.582,-69.005,Syowa Station,*,18,m
